#    L    TT             EE             TE          
   367    0.23005E+04    0.28385E+01    0.37481E+02
   368    0.23045E+04    0.29001E+01    0.37949E+02
   369    0.23083E+04    0.29627E+01    0.38414E+02
   370    0.23121E+04    0.30261E+01    0.38875E+02
   371    0.23157E+04    0.30905E+01    0.39334E+02
   372    0.23193E+04    0.31557E+01    0.39788E+02
   373    0.23227E+04    0.32219E+01    0.40239E+02
   374    0.23260E+04    0.32889E+01    0.40686E+02
   375    0.23292E+04    0.33568E+01    0.41128E+02
   376    0.23323E+04    0.34255E+01    0.41567E+02
   377    0.23353E+04    0.34951E+01    0.42000E+02
   378    0.23382E+04    0.35655E+01    0.42429E+02
   379    0.23410E+04    0.36368E+01    0.42853E+02
   380    0.23437E+04    0.37088E+01    0.43272E+02
   381    0.23463E+04    0.37816E+01    0.43686E+02
   382    0.23488E+04    0.38552E+01    0.44094E+02
   383    0.23512E+04    0.39296E+01    0.44496E+02
   384    0.23535E+04    0.40048E+01    0.44893E+02
   385    0.23557E+04    0.40806E+01    0.45283E+02
   386    0.23578E+04    0.41573E+01    0.45667E+02
   387    0.23598E+04    0.42346E+01    0.46045E+02
   388    0.23617E+04    0.43127E+01    0.46417E+02
   389    0.23635E+04    0.43915E+01    0.46781E+02
   390    0.23653E+04    0.44709E+01    0.47138E+02
   391    0.23669E+04    0.45511E+01    0.47489E+02
   392    0.23685E+04    0.46319E+01    0.47832E+02
   393    0.23699E+04    0.47133E+01    0.48167E+02
   394    0.23713E+04    0.47954E+01    0.48495E+02
   395    0.23726E+04    0.48781E+01    0.48815E+02
   396    0.23738E+04    0.49615E+01    0.49126E+02
   397    0.23750E+04    0.50455E+01    0.49430E+02
   398    0.23760E+04    0.51300E+01    0.49725E+02
   399    0.23770E+04    0.52152E+01    0.50011E+02
   400    0.23779E+04    0.53009E+01    0.50289E+02
   401    0.23787E+04    0.53872E+01    0.50557E+02
   402    0.23795E+04    0.54740E+01    0.50816E+02
   403    0.23802E+04    0.55613E+01    0.51066E+02
   404    0.23808E+04    0.56492E+01    0.51306E+02
   405    0.23813E+04    0.57377E+01    0.51537E+02
   406    0.23817E+04    0.58266E+01    0.51758E+02
   407    0.23821E+04    0.59160E+01    0.51968E+02
   408    0.23824E+04    0.60059E+01    0.52168E+02
   409    0.23827E+04    0.60962E+01    0.52358E+02
   410    0.23829E+04    0.61870E+01    0.52537E+02
   411    0.23830E+04    0.62783E+01    0.52705E+02
   412    0.23830E+04    0.63700E+01    0.52862E+02
   413    0.23830E+04    0.64620E+01    0.53008E+02
   414    0.23830E+04    0.65544E+01    0.53143E+02
   415    0.23829E+04    0.66472E+01    0.53267E+02
   416    0.23827E+04    0.67402E+01    0.53380E+02
   417    0.23825E+04    0.68336E+01    0.53482E+02
   418    0.23822E+04    0.69271E+01    0.53572E+02
   419    0.23819E+04    0.70209E+01    0.53651E+02
