#    L    TT             EE             TE          
   344    0.37003E+02    0.22382E+00    0.12681E+01
   345    0.36664E+02    0.22610E+00    0.12524E+01
   346    0.36329E+02    0.22836E+00    0.12364E+01
   347    0.35997E+02    0.23059E+00    0.12200E+01
   348    0.35670E+02    0.23280E+00    0.12031E+01
   349    0.35346E+02    0.23499E+00    0.11859E+01
   350    0.35026E+02    0.23715E+00    0.11683E+01
   351    0.34711E+02    0.23928E+00    0.11504E+01
   352    0.34399E+02    0.24139E+00    0.11320E+01
   353    0.34092E+02    0.24346E+00    0.11134E+01
   354    0.33789E+02    0.24551E+00    0.10943E+01
   355    0.33491E+02    0.24752E+00    0.10750E+01
   356    0.33197E+02    0.24951E+00    0.10553E+01
   357    0.32908E+02    0.25146E+00    0.10352E+01
   358    0.32623E+02    0.25337E+00    0.10149E+01
   359    0.32343E+02    0.25525E+00    0.99419E+00
   360    0.32068E+02    0.25710E+00    0.97320E+00
   361    0.31799E+02    0.25891E+00    0.95190E+00
   362    0.31534E+02    0.26068E+00    0.93031E+00
   363    0.31274E+02    0.26241E+00    0.90842E+00
   364    0.31020E+02    0.26410E+00    0.88625E+00
   365    0.30771E+02    0.26576E+00    0.86380E+00
   366    0.30528E+02    0.26737E+00    0.84108E+00
   367    0.30290E+02    0.26893E+00    0.81809E+00
   368    0.30058E+02    0.27046E+00    0.79484E+00
   369    0.29832E+02    0.27194E+00    0.77134E+00
   370    0.29611E+02    0.27337E+00    0.74760E+00
   371    0.29396E+02    0.27476E+00    0.72362E+00
   372    0.29187E+02    0.27610E+00    0.69943E+00
   373    0.28983E+02    0.27740E+00    0.67502E+00
   374    0.28785E+02    0.27865E+00    0.65042E+00
   375    0.28593E+02    0.27986E+00    0.62563E+00
   376    0.28407E+02    0.28102E+00    0.60067E+00
   377    0.28226E+02    0.28213E+00    0.57554E+00
   378    0.28051E+02    0.28319E+00    0.55026E+00
   379    0.27881E+02    0.28421E+00    0.52484E+00
   380    0.27717E+02    0.28518E+00    0.49929E+00
   381    0.27559E+02    0.28610E+00    0.47362E+00
   382    0.27407E+02    0.28697E+00    0.44784E+00
   383    0.27260E+02    0.28779E+00    0.42196E+00
   384    0.27118E+02    0.28857E+00    0.39600E+00
   385    0.26983E+02    0.28929E+00    0.36996E+00
   386    0.26853E+02    0.28997E+00    0.34386E+00
   387    0.26728E+02    0.29059E+00    0.31771E+00
   388    0.26609E+02    0.29117E+00    0.29151E+00
   389    0.26496E+02    0.29169E+00    0.26529E+00
   390    0.26388E+02    0.29216E+00    0.23905E+00
   391    0.26286E+02    0.29259E+00    0.21280E+00
   392    0.26189E+02    0.29296E+00    0.18656E+00
   393    0.26098E+02    0.29328E+00    0.16033E+00
   394    0.26012E+02    0.29355E+00    0.13412E+00
   395    0.25932E+02    0.29376E+00    0.10796E+00
   396    0.25858E+02    0.29392E+00    0.81842E-01
   397    0.25788E+02    0.29403E+00    0.55784E-01
   398    0.25725E+02    0.29409E+00    0.29798E-01
   399    0.25667E+02    0.29409E+00    0.38947E-02
   400    0.25614E+02    0.29404E+00   -0.21916E-01
   401    0.25567E+02    0.29394E+00   -0.47621E-01
   402    0.25525E+02    0.29378E+00   -0.73211E-01
   403    0.25489E+02    0.29357E+00   -0.98673E-01
   404    0.25458E+02    0.29330E+00   -0.12400E+00
   405    0.25433E+02    0.29298E+00   -0.14917E+00
   406    0.25413E+02    0.29260E+00   -0.17419E+00
   407    0.25398E+02    0.29216E+00   -0.19903E+00
   408    0.25389E+02    0.29167E+00   -0.22369E+00
   409    0.25385E+02    0.29113E+00   -0.24815E+00
   410    0.25387E+02    0.29052E+00   -0.27241E+00
   411    0.25394E+02    0.28986E+00   -0.29646E+00
   412    0.25406E+02    0.28915E+00   -0.32028E+00
   413    0.25423E+02    0.28838E+00   -0.34387E+00
   414    0.25446E+02    0.28755E+00   -0.36722E+00
   415    0.25474E+02    0.28667E+00   -0.39032E+00
   416    0.25506E+02    0.28574E+00   -0.41317E+00
   417    0.25544E+02    0.28476E+00   -0.43577E+00
   418    0.25586E+02    0.28372E+00   -0.45809E+00
   419    0.25633E+02    0.28264E+00   -0.48015E+00
   420    0.25684E+02    0.28151E+00   -0.50192E+00
   421    0.25740E+02    0.28032E+00   -0.52340E+00
   422    0.25801E+02    0.27909E+00   -0.54459E+00
   423    0.25865E+02    0.27782E+00   -0.56547E+00
   424    0.25934E+02    0.27650E+00   -0.58605E+00
   425    0.26007E+02    0.27513E+00   -0.60631E+00
   426    0.26084E+02    0.27372E+00   -0.62624E+00
   427    0.26166E+02    0.27227E+00   -0.64585E+00
   428    0.26251E+02    0.27077E+00   -0.66511E+00
   429    0.26340E+02    0.26923E+00   -0.68403E+00
   430    0.26432E+02    0.26766E+00   -0.70260E+00
   431    0.26528E+02    0.26604E+00   -0.72080E+00
   432    0.26628E+02    0.26438E+00   -0.73864E+00
   433    0.26731E+02    0.26269E+00   -0.75611E+00
   434    0.26838E+02    0.26096E+00   -0.77319E+00
   435    0.26948E+02    0.25919E+00   -0.78989E+00
   436    0.27061E+02    0.25738E+00   -0.80619E+00
   437    0.27177E+02    0.25555E+00   -0.82208E+00
   438    0.27296E+02    0.25367E+00   -0.83757E+00
   439    0.27418E+02    0.25177E+00   -0.85264E+00
   440    0.27543E+02    0.24983E+00   -0.86729E+00
